timestamp,x,y,z,qx,qy,qz,qw
431095.993702,0.000000,0.000000,0.000000,0.194906,0.214445,0.708264,-0.643729
431096.010370,0.000000,0.000000,0.000000,0.193322,0.215893,0.708629,-0.643320
431096.027038,0.000000,0.000000,0.000000,0.191354,0.218113,0.709033,-0.642715
431096.043706,0.000000,0.000000,0.000000,0.190413,0.219115,0.709130,-0.642546
431096.060374,0.000000,0.000000,0.000000,0.188621,0.220471,0.709068,-0.642679
431096.077042,0.000000,0.000000,0.000000,0.187863,0.220859,0.708876,-0.642980
431096.093710,0.000000,0.000000,0.000000,0.186877,0.221007,0.708407,-0.643733
431096.110378,0.000000,0.000000,0.000000,0.186446,0.220350,0.708199,-0.644312
431096.127046,0.000000,0.000000,0.000000,0.186517,0.219899,0.708147,-0.644503
431096.143714,0.000000,0.000000,0.000000,0.187606,0.219372,0.708140,-0.644374
431096.160382,0.000000,0.000000,0.000000,0.188995,0.220092,0.708296,-0.643550
431096.177050,0.000000,0.000000,0.000000,0.189226,0.220832,0.708451,-0.643059
431096.193718,0.000000,0.000000,0.000000,0.188334,0.222418,0.709094,-0.642064
431096.210386,0.000000,0.000000,0.000000,0.186518,0.223647,0.710360,-0.640767
431096.227054,0.000000,0.000000,0.000000,0.185969,0.224042,0.711146,-0.639916
431096.243722,0.000000,0.000000,0.000000,0.186214,0.224177,0.712820,-0.637931
431096.260390,0.000000,0.000000,0.000000,0.187950,0.222960,0.714366,-0.636117
431096.277058,0.000000,0.000000,0.000000,0.189099,0.221944,0.714947,-0.635478
431096.293726,0.000000,0.000000,0.000000,0.192113,0.219153,0.715727,-0.634665
431096.310393,0.000000,0.000000,0.000000,0.195839,0.217263,0.715739,-0.634162
431096.327062,0.000000,0.000000,0.000000,0.197581,0.216781,0.715662,-0.633874
431096.343729,0.000000,0.000000,0.000000,0.200410,0.217056,0.715357,-0.633236
431096.360397,0.000000,0.000000,0.000000,0.202948,0.218908,0.714940,-0.632260
431096.377065,0.000000,0.000000,0.000000,0.204116,0.220434,0.714674,-0.631654
431096.393733,0.000000,0.000000,0.000000,0.205608,0.223805,0.714317,-0.630387
431096.410401,0.000000,0.000000,0.000000,0.205920,0.226766,0.714235,-0.629319
431096.427069,0.000000,0.000000,0.000000,0.205948,0.227649,0.714420,-0.628781
431096.443737,0.000000,0.000000,0.000000,0.206048,0.228263,0.715228,-0.627606
431096.460405,0.000000,0.000000,0.000000,0.205558,0.228161,0.716190,-0.626706
431096.477073,0.000000,0.000000,0.000000,0.204760,0.228189,0.716506,-0.626595
431096.493741,0.000000,0.000000,0.000000,0.202151,0.228680,0.716658,-0.627090
431096.510409,0.000000,0.000000,0.000000,0.198798,0.229759,0.716413,-0.628047
431096.527077,0.000000,0.000000,0.000000,0.196848,0.230384,0.716335,-0.628521
431096.543745,0.000000,0.000000,0.000000,0.192182,0.231439,0.716419,-0.629481
431096.560413,0.000000,0.000000,0.000000,0.186363,0.232579,0.716658,-0.630537
431096.577081,0.000000,0.000000,0.000000,0.184080,0.232847,0.716894,-0.630841
431096.593749,0.000000,0.000000,0.000000,0.182308,0.231938,0.717646,-0.630834
431096.610417,0.000000,0.000000,0.000000,0.183589,0.229787,0.718369,-0.630428
431096.627084,0.000000,0.000000,0.000000,0.184686,0.228670,0.718651,-0.630192
431096.643752,0.000000,0.000000,0.000000,0.186890,0.226443,0.719270,-0.629639
431096.660420,0.000000,0.000000,0.000000,0.187476,0.225669,0.719514,-0.629465
431096.677088,0.000000,0.000000,0.000000,0.187161,0.224934,0.719897,-0.629384
431096.693756,0.000000,0.000000,0.000000,0.185997,0.224786,0.720308,-0.629312
431096.710424,0.000000,0.000000,0.000000,0.185480,0.224705,0.720579,-0.629182
431096.727092,0.000000,0.000000,0.000000,0.184647,0.224696,0.721085,-0.628851
431096.743760,0.000000,0.000000,0.000000,0.183823,0.224761,0.721267,-0.628860
431096.760428,0.000000,0.000000,0.000000,0.183403,0.224794,0.721245,-0.628997
431096.777096,0.000000,0.000000,0.000000,0.182736,0.224643,0.721138,-0.629367
431096.793764,0.000000,0.000000,0.000000,0.182373,0.224365,0.721034,-0.629690
431096.810432,0.000000,0.000000,0.000000,0.182290,0.224273,0.720981,-0.629808
431096.827100,0.000000,0.000000,0.000000,0.182067,0.224651,0.720764,-0.629986
431096.843768,0.000000,0.000000,0.000000,0.181702,0.225519,0.720397,-0.630201
431096.860436,0.000000,0.000000,0.000000,0.182793,0.226221,0.718282,-0.632046
431096.877104,0.000158,-0.000124,-0.000040,0.182358,0.226838,0.718267,-0.631967
431096.893771,0.000357,-0.000240,-0.000085,0.182126,0.227301,0.718491,-0.631613
431096.910439,0.001386,0.000374,-0.000064,0.189906,0.227743,0.717309,-0.630505
431096.927107,0.001808,0.000480,-0.000205,0.190793,0.227789,0.717374,-0.630147
431096.943775,0.002045,0.000445,-0.000346,0.191864,0.227996,0.717262,-0.629874
431096.960443,0.002247,0.000401,-0.000445,0.192579,0.228205,0.717210,-0.629639
431096.977111,0.002455,0.000420,-0.000446,0.192281,0.228632,0.717285,-0.629490
431096.993779,0.002661,0.000508,-0.000358,0.191146,0.229218,0.717405,-0.629486
431097.010447,0.002797,0.000713,-0.000085,0.194076,0.230720,0.717865,-0.627513
431097.027115,0.002923,0.000826,0.000069,0.193087,0.230840,0.717898,-0.627737
431097.043783,0.003089,0.001001,0.000058,0.192904,0.230772,0.717665,-0.628084
431097.060451,0.003158,0.001095,0.000138,0.192950,0.230386,0.717519,-0.628378
431097.077119,0.003193,0.001190,0.000284,0.192692,0.229991,0.717454,-0.628676
431097.093787,0.003193,0.001305,0.000484,0.191966,0.229651,0.717355,-0.629136
431097.110455,0.003119,0.001481,0.000804,0.193517,0.230251,0.717455,-0.628326
431097.127123,0.003051,0.001584,0.001024,0.192465,0.229878,0.717286,-0.628979
431097.143791,0.002921,0.001928,0.000956,0.191862,0.229691,0.717046,-0.629505
431097.160458,0.002823,0.002073,0.000961,0.191799,0.229182,0.716866,-0.629914
431097.177126,0.002735,0.002135,0.000942,0.192200,0.228745,0.716653,-0.630193
431097.193794,0.002665,0.002160,0.000891,0.192790,0.228311,0.716501,-0.630343
431097.210462,0.002617,0.002184,0.000836,0.193038,0.228056,0.716467,-0.630399
431097.227130,0.002714,0.002400,0.000968,0.194961,0.228400,0.716909,-0.629178
431097.243798,0.002741,0.002479,0.000963,0.194445,0.228668,0.716903,-0.629247
431097.260466,0.002723,0.002521,0.000952,0.193803,0.228799,0.716849,-0.629459
431097.277134,0.002661,0.002562,0.000980,0.192889,0.228768,0.716678,-0.629946
431097.293802,0.002543,0.002608,0.001035,0.191799,0.228860,0.716334,-0.630636
431097.310470,0.002396,0.002655,0.001105,0.191689,0.228806,0.715945,-0.631131
431097.327138,0.002247,0.002690,0.001147,0.191138,0.228571,0.715598,-0.631776
431097.343806,0.002015,0.002510,0.001344,0.190585,0.228091,0.715346,-0.632402
431097.360474,0.001864,0.002498,0.001480,0.189885,0.227526,0.715181,-0.633002
431097.377142,0.001748,0.002545,0.001587,0.189011,0.227151,0.715002,-0.633601
431097.393810,0.001644,0.002605,0.001633,0.188354,0.227145,0.714725,-0.634110
431097.410478,0.001551,0.002658,0.001616,0.188475,0.227474,0.714374,-0.634352
431097.427145,0.001487,0.002721,0.001603,0.188501,0.227463,0.714257,-0.634480
431097.443813,0.001090,0.002682,0.001464,0.188128,0.227312,0.714284,-0.634614
431097.460481,0.000969,0.002777,0.001537,0.187710,0.226741,0.714555,-0.634638
431097.477149,0.000971,0.002940,0.001727,0.187138,0.225911,0.714965,-0.634641
431097.493817,0.001031,0.003195,0.002039,0.185950,0.224882,0.715437,-0.634824
431097.510485,0.001090,0.003510,0.002418,0.182153,0.223055,0.716128,-0.635789
431097.527153,0.001106,0.003905,0.002923,0.179845,0.221779,0.716355,-0.636636
431097.543821,0.000917,0.004303,0.003532,0.178701,0.220429,0.716575,-0.637179
431097.560489,0.000844,0.004559,0.003847,0.179526,0.218753,0.716822,-0.637247
431097.577157,0.000852,0.004729,0.003974,0.181333,0.217183,0.717115,-0.636943
431097.593825,0.000915,0.004884,0.004039,0.182720,0.216249,0.717480,-0.636453
431097.610493,0.001000,0.005048,0.004081,0.181733,0.216192,0.718375,-0.635745
431097.627161,0.001154,0.005211,0.004134,0.181439,0.216239,0.718856,-0.635269
431097.643829,0.001175,0.005100,0.004312,0.180868,0.216582,0.719262,-0.634856
431097.660497,0.001277,0.005108,0.004344,0.180510,0.216926,0.719531,-0.634535
431097.677164,0.001353,0.005148,0.004325,0.180183,0.217292,0.719627,-0.634394
431097.693833,0.001366,0.005187,0.004301,0.179894,0.217389,0.719579,-0.634497
431097.710500,0.001338,0.005196,0.004267,0.179134,0.217530,0.719320,-0.634957
431097.727168,0.001317,0.005189,0.004241,0.179001,0.217217,0.719136,-0.635311
431097.743836,0.001190,0.004942,0.004311,0.178466,0.217070,0.718995,-0.635671
431097.760504,0.001135,0.004842,0.004317,0.177542,0.217271,0.718773,-0.636111
431097.777172,0.001105,0.004772,0.004255,0.176797,0.217714,0.718453,-0.636529
431097.793840,0.001118,0.004675,0.004103,0.176842,0.218181,0.718203,-0.636638
431097.810508,0.001186,0.004539,0.003934,0.176674,0.218840,0.718076,-0.636601
431097.827176,0.001296,0.004465,0.003759,0.177409,0.218961,0.718337,-0.636062
431097.843844,0.001407,0.004466,0.003653,0.177534,0.219069,0.718619,-0.635671
