timestamp,x,y,z,rx,ry,rz
431095.993702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
431096.010370,0.000000,0.000000,0.000000,0.003773,0.000346,-0.002294
431096.027038,0.000000,0.000000,0.000000,0.009043,0.000175,-0.005380
431096.043706,0.000000,0.000000,0.000000,0.011567,0.000183,-0.006539
431096.060374,0.000000,0.000000,0.000000,0.015873,0.001008,-0.007568
431096.077042,0.000000,0.000000,0.000000,0.017598,0.001636,-0.007370
431096.093710,0.000000,0.000000,0.000000,0.019572,0.002983,-0.006181
431096.110378,0.000000,0.000000,0.000000,0.019511,0.004606,-0.005022
431096.127046,0.000000,0.000000,0.000000,0.018877,0.005149,-0.004478
431096.143714,0.000000,0.000000,0.000000,0.016682,0.004226,-0.003978
431096.160382,0.000000,0.000000,0.000000,0.015525,0.001040,-0.005032
431096.177050,0.000000,0.000000,0.000000,0.016018,-0.000391,-0.006116
431096.193718,0.000000,0.000000,0.000000,0.018750,-0.001347,-0.009354
431096.210386,0.000000,0.000000,0.000000,0.021781,-0.000418,-0.014080
431096.227054,0.000000,0.000000,0.000000,0.022377,-0.000208,-0.016687
431096.243722,0.000000,0.000000,0.000000,0.020762,-0.000928,-0.021601
431096.260390,0.000000,0.000000,0.000000,0.015433,-0.001995,-0.024943
431096.277058,0.000000,0.000000,0.000000,0.012016,-0.002363,-0.025708
431096.293726,0.000000,0.000000,0.000000,0.003529,-0.003084,-0.025483
431096.310393,0.000000,0.000000,0.000000,-0.004145,-0.006139,-0.023875
431096.327062,0.000000,0.000000,0.000000,-0.007151,-0.008140,-0.023249
431096.343729,0.000000,0.000000,0.000000,-0.010521,-0.012895,-0.022655
431096.360397,0.000000,0.000000,0.000000,-0.011367,-0.019456,-0.023133
431096.377065,0.000000,0.000000,0.000000,-0.010831,-0.023439,-0.023743
431096.393733,0.000000,0.000000,0.000000,-0.008319,-0.030575,-0.025753
431096.410401,0.000000,0.000000,0.000000,-0.004907,-0.035320,-0.028182
431096.427069,0.000000,0.000000,0.000000,-0.003980,-0.036657,-0.029515
431096.443737,0.000000,0.000000,0.000000,-0.004045,-0.037777,-0.032415
431096.460405,0.000000,0.000000,0.000000,-0.004321,-0.036963,-0.035102
431096.477073,0.000000,0.000000,0.000000,-0.003433,-0.035793,-0.036018
431096.493741,0.000000,0.000000,0.000000,0.000749,-0.032456,-0.036822
431096.510409,0.000000,0.000000,0.000000,0.007074,-0.028781,-0.037009
431096.527077,0.000000,0.000000,0.000000,0.010689,-0.026651,-0.037318
431096.543745,0.000000,0.000000,0.000000,0.018529,-0.020954,-0.038478
431096.560413,0.000000,0.000000,0.000000,0.027945,-0.013632,-0.040233
431096.577081,0.000000,0.000000,0.000000,0.031282,-0.010521,-0.041190
431096.593749,0.000000,0.000000,0.000000,0.031951,-0.006550,-0.042573
431096.610417,0.000000,0.000000,0.000000,0.026787,-0.005487,-0.042691
431096.627084,0.000000,0.000000,0.000000,0.023579,-0.005594,-0.042482
431096.643752,0.000000,0.000000,0.000000,0.017104,-0.005846,-0.042248
431096.660420,0.000000,0.000000,0.000000,0.015080,-0.005660,-0.042256
431096.677088,0.000000,0.000000,0.000000,0.014249,-0.004152,-0.042713
431096.693756,0.000000,0.000000,0.000000,0.015334,-0.002183,-0.043785
431096.710424,0.000000,0.000000,0.000000,0.015718,-0.001295,-0.044509
431096.727092,0.000000,0.000000,0.000000,0.016431,-0.000050,-0.045983
431096.743760,0.000000,0.000000,0.000000,0.017510,0.001109,-0.046584
431096.760428,0.000000,0.000000,0.000000,0.018161,0.001712,-0.046554
431096.777096,0.000000,0.000000,0.000000,0.018994,0.002968,-0.046119
431096.793764,0.000000,0.000000,0.000000,0.019239,0.003940,-0.045575
431096.810432,0.000000,0.000000,0.000000,0.019284,0.004205,-0.045340
431096.827100,0.000000,0.000000,0.000000,0.020269,0.004025,-0.045051
431096.843768,0.000000,0.000000,0.000000,0.022211,0.003375,-0.044769
431096.860436,-0.000000,-0.000000,0.000000,0.023426,0.000891,-0.039237
431096.877104,0.000066,0.000165,-0.000102,0.024837,0.000673,-0.039756
431096.893771,0.000118,0.000370,-0.000204,0.025557,0.000342,-0.040827
431096.910439,-0.000477,0.001346,0.000154,0.016240,-0.012184,-0.037709
431096.927107,-0.000683,0.001751,0.000096,0.014996,-0.013630,-0.037937
431096.943775,-0.000754,0.001982,-0.000041,0.013852,-0.015573,-0.037801
431096.960443,-0.000791,0.002181,-0.000148,0.013159,-0.016976,-0.037842
431096.977111,-0.000827,0.002387,-0.000138,0.014057,-0.017139,-0.038445
431096.993779,-0.000872,0.002590,-0.000016,0.016295,-0.016240,-0.039320
431097.010447,-0.000904,0.002723,0.000325,0.013684,-0.022991,-0.042037
431097.027115,-0.000924,0.002848,0.000516,0.015201,-0.021638,-0.042233
431097.043783,-0.001091,0.002998,0.000604,0.015575,-0.021232,-0.041492
431097.060451,-0.001132,0.003064,0.000722,0.015146,-0.020731,-0.040718
431097.077119,-0.001133,0.003100,0.000897,0.015063,-0.019754,-0.040169
431097.093787,-0.001118,0.003100,0.001127,0.015739,-0.018129,-0.039569
431097.110455,-0.001080,0.003030,0.001491,0.014232,-0.021407,-0.040414
431097.127123,-0.001037,0.002966,0.001731,0.015385,-0.019223,-0.039577
431097.143791,-0.001347,0.002805,0.001865,0.016205,-0.017996,-0.038709
431097.160458,-0.001455,0.002697,0.001949,0.015801,-0.017145,-0.037725
431097.177126,-0.001508,0.002603,0.001968,0.014867,-0.017114,-0.036712
431097.193794,-0.001551,0.002528,0.001940,0.013615,-0.017385,-0.035884
431097.210462,-0.001597,0.002476,0.001907,0.012972,-0.017399,-0.035554
431097.227130,-0.001712,0.002563,0.002136,0.010316,-0.020917,-0.037163
431097.243798,-0.001782,0.002583,0.002176,0.011390,-0.020504,-0.037383
431097.260466,-0.001821,0.002561,0.002191,0.012509,-0.019693,-0.037339
431097.277134,-0.001835,0.002498,0.002236,0.013903,-0.018216,-0.036809
431097.293802,-0.001831,0.002379,0.002308,0.015854,-0.016628,-0.035893
431097.310470,-0.001817,0.002233,0.002392,0.016280,-0.016341,-0.034716
431097.327138,-0.001808,0.002084,0.002447,0.017056,-0.015117,-0.033499
431097.343806,-0.001529,0.001878,0.002510,0.017441,-0.013546,-0.032338
431097.360474,-0.001429,0.001736,0.002617,0.017846,-0.011633,-0.031355
431097.377142,-0.001398,0.001622,0.002732,0.018750,-0.009726,-0.030506
431097.393810,-0.001413,0.001517,0.002804,0.019905,-0.008676,-0.029707
431097.410478,-0.001456,0.001418,0.002819,0.020459,-0.009305,-0.028989
431097.427145,-0.001510,0.001349,0.002843,0.020511,-0.009318,-0.028640
431097.443813,-0.001517,0.000950,0.002706,0.020817,-0.008528,-0.028587
431097.460481,-0.001544,0.000826,0.002819,0.020441,-0.007084,-0.028859
431097.477149,-0.001574,0.000825,0.003068,0.019825,-0.005045,-0.029304
431097.493817,-0.001619,0.000881,0.003469,0.019767,-0.001773,-0.029762
431097.510485,-0.001676,0.000934,0.003959,0.022149,0.006641,-0.030201
431097.527153,-0.001726,0.000946,0.004598,0.023544,0.012005,-0.029785
431097.543821,-0.001700,0.000758,0.005326,0.023223,0.015683,-0.029264
431097.560489,-0.001732,0.000682,0.005730,0.019707,0.016796,-0.028479
431097.577157,-0.001803,0.000683,0.005930,0.014912,0.016243,-0.027898
431097.593825,-0.001902,0.000738,0.006070,0.011455,0.015413,-0.028105
431097.610493,-0.002023,0.000811,0.006195,0.011986,0.016928,-0.030660
431097.627161,-0.002143,0.000954,0.006330,0.012038,0.017268,-0.032100
431097.643829,-0.001955,0.000994,0.006416,0.012924,0.017617,-0.033585
431097.660497,-0.001954,0.001096,0.006448,0.013632,0.017649,-0.034674
431097.677164,-0.002004,0.001167,0.006454,0.014476,0.017618,-0.035279
431097.693833,-0.002052,0.001176,0.006456,0.015045,0.017928,-0.035235
431097.710500,-0.002075,0.001146,0.006432,0.016515,0.018919,-0.034630
431097.727168,-0.002082,0.001123,0.006408,0.016459,0.019591,-0.033827
431097.743836,-0.001826,0.001021,0.006328,0.017140,0.020637,-0.033308
431097.760504,-0.001735,0.000974,0.006278,0.018882,0.021790,-0.032874
431097.777172,-0.001708,0.000947,0.006188,0.020769,0.022329,-0.032362
431097.793840,-0.001713,0.000959,0.006007,0.021523,0.021613,-0.032048
431097.810508,-0.001700,0.001028,0.005791,0.022713,0.020937,-0.032266
431097.827176,-0.001746,0.001135,0.005604,0.021616,0.019611,-0.033098
431097.843844,-0.001816,0.001240,0.005517,0.021334,0.019237,-0.034004
431097.860512,-0.001888,0.001308,0.005579,0.022462,0.020458,-0.034535
431097.877180,-0.001944,0.001316,0.005788,0.025167,0.023003,-0.034476
431097.893848,-0.001982,0.001271,0.006082,0.027656,0.025990,-0.033886
431097.910516,-0.001811,0.001072,0.006569,0.030051,0.029279,-0.032770
431097.927184,-0.001738,0.000978,0.006960,0.030295,0.031568,-0.031777
431097.943852,-0.001711,0.000972,0.007352,0.030680,0.033697,-0.031454
431097.960519,-0.001712,0.001025,0.007823,0.031880,0.036536,-0.031920
431097.977187,-0.001731,0.001101,0.008391,0.033474,0.040370,-0.032709
431097.993855,-0.001760,0.001168,0.009018,0.034457,0.044801,-0.033291
431098.010523,-0.001790,0.001214,0.009634,0.035645,0.049280,-0.033132
431098.027191,-0.001828,0.001218,0.010190,0.035013,0.052635,-0.032567
431098.043859,-0.001760,0.000988,0.010862,0.034536,0.055394,-0.031336
431098.060527,-0.001727,0.000882,0.011405,0.034441,0.058241,-0.029841
431098.077195,-0.001702,0.000848,0.011894,0.034166,0.061549,-0.028567
431098.093863,-0.001704,0.000859,0.012291,0.033786,0.063998,-0.027933
431098.110531,-0.001679,0.000779,0.012637,0.033738,0.065538,-0.027704
431098.127199,-0.001704,0.000764,0.012786,0.032477,0.065455,-0.027538
431098.143867,-0.001736,0.000779,0.012830,0.031442,0.064940,-0.027246
431098.160535,-0.001765,0.000825,0.012825,0.030905,0.064483,-0.027177
431098.177203,-0.001808,0.000894,0.012788,0.031122,0.064042,-0.027346
431098.193871,-0.001863,0.000980,0.012732,0.031630,0.063656,-0.027578
431098.210539,-0.001759,0.000754,0.012613,0.033143,0.063985,-0.028061
431098.227206,-0.001747,0.000724,0.012523,0.033444,0.063914,-0.028050
431098.243874,-0.001773,0.000755,0.012426,0.033645,0.063644,-0.028160
431098.260542,-0.001813,0.000811,0.012296,0.033599,0.062930,-0.028482
431098.277210,-0.001864,0.000876,0.012138,0.033363,0.061799,-0.028814
431098.293878,-0.001912,0.000932,0.011982,0.033135,0.060775,-0.029005
431098.310546,-0.001956,0.000945,0.011822,0.034138,0.060356,-0.029328
431098.327214,-0.001990,0.000914,0.011674,0.034251,0.059400,-0.028847
431098.343882,-0.001846,0.000726,0.011528,0.034580,0.058329,-0.028083
431098.360550,-0.001796,0.000580,0.011417,0.034751,0.057381,-0.027181
431098.377218,-0.001771,0.000452,0.011376,0.034815,0.057061,-0.026319
431098.393886,-0.001749,0.000335,0.011410,0.034803,0.057462,-0.025581
431098.410554,-0.001734,0.000212,0.011452,0.035584,0.058703,-0.025551
431098.427222,-0.001729,0.000109,0.011484,0.034498,0.058588,-0.024984
431098.443890,-0.001566,-0.000082,0.011660,0.033356,0.058309,-0.024523
431098.460558,-0.001504,-0.000204,0.011807,0.032722,0.058579,-0.024260
431098.477225,-0.001477,-0.000314,0.012011,0.032908,0.059663,-0.024003
431098.493893,-0.001468,-0.000443,0.012265,0.033555,0.061160,-0.023476
431098.510561,-0.001415,-0.000871,0.012443,0.034552,0.063200,-0.022480
431098.527229,-0.001414,-0.001135,0.012636,0.033812,0.063944,-0.021236
431098.543897,-0.001429,-0.001316,0.012815,0.032268,0.064278,-0.020004
431098.560565,-0.001451,-0.001432,0.013006,0.030656,0.064516,-0.019200
431098.577233,-0.001485,-0.001481,0.013231,0.029381,0.065041,-0.019007
431098.593901,-0.001535,-0.001479,0.013497,0.028533,0.065973,-0.019221
431098.610569,-0.001427,-0.001685,0.013763,0.028693,0.068044,-0.019745
431098.627237,-0.001396,-0.001744,0.014118,0.028982,0.070325,-0.019612
431098.643905,-0.001382,-0.001758,0.014504,0.029598,0.072980,-0.019232
431098.660573,-0.001375,-0.001737,0.014871,0.030477,0.075498,-0.018864
431098.677241,-0.001385,-0.001669,0.015221,0.031888,0.077739,-0.018851
431098.693909,-0.001423,-0.001549,0.015588,0.033538,0.079796,-0.019358
431098.710576,-0.001489,-0.001386,0.015971,0.034660,0.082526,-0.020445
431098.727244,-0.001561,-0.001176,0.016406,0.034781,0.084903,-0.021262
431098.743912,-0.001522,-0.001278,0.016794,0.034439,0.087515,-0.022405
431098.760580,-0.001561,-0.001124,0.017305,0.033506,0.090548,-0.023748
431098.777248,-0.001626,-0.000884,0.017930,0.032807,0.094358,-0.024867
431098.793916,-0.001698,-0.000642,0.018653,0.033325,0.099044,-0.025471
431098.810584,-0.001770,-0.000440,0.019440,0.036007,0.104682,-0.026184
431098.827252,-0.001836,-0.000245,0.020274,0.038882,0.109849,-0.026112
431098.843920,-0.001709,-0.000109,0.021253,0.040894,0.114997,-0.025531
